texto,categoria
"Não  consigo  mudar  o modal de entrega Olá,  venho fazer uma reclamação  ao suporte  pois  não  consigo mudar  a categoria  de entrega  de bicicleta pra moto,  e a segunda vez que mando  minha  CNH  e não  tenho  nenhuma resposta sobre  a solicitação, isso  tem mais de duas semanas e nada de resposta o suporte  e vergonhoso.Espero  que resolvam  o meu problema , estou  aguardando  sua resposta!",Problemas com App
Sofri um acidente No dia 27/01/2025 as 15:20 eu sofri um acidente de moto durante uma rota do ifood agora provavelmente terei que passar por uma cirurgia e acar com os custos do meu bolso pois tentei acionar meu seguro e mandei um email para o ifood e não tive retorno agora vou ter que acar com todos os custos e despesas mesmo sem ter condições financeiras,Problemas com Financeiro
Troca de aparelho celular Minha conta bloqueio após ter trocado de aparelho celular,Problemas com App
"Avaliação injusta Ifood simplesmente ignora avaliação de concorrência, tenho recebido avaliação fake de concorrentes, cliente que reclamam de maneira baixa, mesmo o problema já sendo resolvido, eu estou pagando para falarem mal do meu estabelecimento? Ifood é um desserviço para o lojista. Se não resolveram eu vou cancelar !",Problemas com Loja
"Retirada de ifood Fui fazer a retirada de um Ifood no dia 31/01 na unidade do shopping contagem, já estava na loja, já tinha dado retirada no pedido, e o gerente por sinal muito mal educado falou que tinha tirado o pedido da minha tela porque ele queria, porque ele podia, batendo no peito falando que é dono da loja e não sei o que mais, na frente de cliente por sinal, uma vergonha pra uma empresa tão grande como essa, esse tipo de postura do gerente, o frente de loja com essa falta de educação",Problemas com Loja
"Moto pneu furou numa entrega Minha moto ontem furou em o pneu informei a o Ifood tudo certinho, enviei foto! Fui atendido por uma atendente, expliquei tudo certinho a ela, tenho todos os prints tirado da conversa já por causa dessas coisas , o Ifood na hora diz uma coisa e depois nos prejudica nos entregadores, fiquei bloqueado por 2 horas pra poder fazer o conserto daí tudo bem! Quando é agora fui logar pra ir trabalhar e estou bloqueado por 24 horas, o Ifood ta cada dia mais difícil de trabalhar! Pois imprevistos acontecem! E eu acabei o suporte tudo certinho como manda as diretrizes! E mesmo assim fui [Editado pelo Reclame Aqui] agora, preciso da minha conta liberada, preciso trabalhar pra levar meu sustento para casa! Espero que se resolva o mais rápido! Preciso trabalhar!",Problemas com App
Bloqueia da conta e exclusão sem minha autorização Fui bloqueado a meses pois quando fiz cadastro era pouco diferente agora uuso alargador ee tatuagem fiz a facial e minha conta foi bloqueada não cometi irregularidades pois sempre trabalhei com entrega do Ifood mas a empresa não dá suporte a nós entregadores me bloquearam e ainda tive minha conta deletada e não foi por mim se não desbloquear vou processar a empresa não só por me bloquear por preconceito mas ainda deletou minha conta sem permissão quero resposta imediataBoa tarde,Problemas com App
"Dificuldade Oie eu estou com minha conta do ifood a 4 mês aprovado,o app não libera a plataforma todos os meus amigo feito no dia já estão trabalhando a https://******* é uma falta de respeito com os https://******* as vezes que mim reponde fala na cidade não tem disponibilidade!! E como os outro que fizeram o cadastro já estão rodando só o meu que não libera ?? Qual é a próxima desculpa??",Problemas com App
"Recebi meu pedido com qualidade ruim e o Ifood não resolveu a situação Fiz um pedido no McDonalds em 31 de janeiro de 2025 e foi entregue em péssima qualidade. Pedi dois sanduíches (Mc Crispy Melt & Bacon e McChicken Bacon), uma batata média.O pedido chegou com a porcão de batata do tamanho de uma batata pequena, e ambos os lanches vieram sem bacon.Solicitei ajuda ao suporte na madrugada de 01 de fevereiro de 2025 e eles falaram que não conseguiria me dar suporte nesta situação.Por isso estou abrindo uma reclamação, visto que até o Ifood Club pago e sou cliente da plataforma faz anos, deveria ter um suporte mais assertivo e humanizado.Fico no aguardo de um resolução, pois meu pedido não foi entregue da maneira que paguei pelo mesmo e a plataforma é o meio para solucionar a situação.",Problemas com App
Bloqueado Estourando esperando a resposta da segunda chance já faz mais de um mês que preenchi o formulário eles falam que em 15 dias para a resposta mas já faz um mês que fiz e nada gostaria de saber até hj porque fui bloqueado e nada ainda,Problemas com App
Sofri um acidente No dia 27/01/2025 as 15:20 eu sofri um acidente de moto durante uma rota do ifood agora provavelmente terei que passar por uma cirurgia e acar com os custos do meu bolso pois tentei acionar meu seguro e mandei um email para o ifood e não tive retorno agora vou ter que acar com todos os custos e despesas mesmo sem ter condições financeiras,Problemas com Financeiro
Troca de aparelho celular Minha conta bloqueio após ter trocado de aparelho celular,Problemas com App
"Avaliação injusta Ifood simplesmente ignora avaliação de concorrência, tenho recebido avaliação fake de concorrentes, cliente que reclamam de maneira baixa, mesmo o problema já sendo resolvido, eu estou pagando para falarem mal do meu estabelecimento? Ifood é um desserviço para o lojista. Se não resolveram eu vou cancelar !",Problemas com Loja
"Retirada de ifood Fui fazer a retirada de um Ifood no dia 31/01 na unidade do shopping contagem, já estava na loja, já tinha dado retirada no pedido, e o gerente por sinal muito mal educado falou que tinha tirado o pedido da minha tela porque ele queria, porque ele podia, batendo no peito falando que é dono da loja e não sei o que mais, na frente de cliente por sinal, uma vergonha pra uma empresa tão grande como essa, esse tipo de postura do gerente, o frente de loja com essa falta de educação",Problemas com Loja
"Moto pneu furou numa entrega Minha moto ontem furou em o pneu informei a o Ifood tudo certinho, enviei foto! Fui atendido por uma atendente, expliquei tudo certinho a ela, tenho todos os prints tirado da conversa já por causa dessas coisas , o Ifood na hora diz uma coisa e depois nos prejudica nos entregadores, fiquei bloqueado por 2 horas pra poder fazer o conserto daí tudo bem! Quando é agora fui logar pra ir trabalhar e estou bloqueado por 24 horas, o Ifood ta cada dia mais difícil de trabalhar! Pois imprevistos acontecem! E eu acabei o suporte tudo certinho como manda as diretrizes! E mesmo assim fui [Editado pelo Reclame Aqui] agora, preciso da minha conta liberada, preciso trabalhar pra levar meu sustento para casa! Espero que se resolva o mais rápido! Preciso trabalhar!",Problemas com App
Bloqueia da conta e exclusão sem minha autorização Fui bloqueado a meses pois quando fiz cadastro era pouco diferente agora uuso alargador ee tatuagem fiz a facial e minha conta foi bloqueada não cometi irregularidades pois sempre trabalhei com entrega do Ifood mas a empresa não dá suporte a nós entregadores me bloquearam e ainda tive minha conta deletada e não foi por mim se não desbloquear vou processar a empresa não só por me bloquear por preconceito mas ainda deletou minha conta sem permissão quero resposta imediataBoa tarde,Problemas com App
"Dificuldade Oie eu estou com minha conta do ifood a 4 mês aprovado,o app não libera a plataforma todos os meus amigo feito no dia já estão trabalhando a https://******* é uma falta de respeito com os https://******* as vezes que mim reponde fala na cidade não tem disponibilidade!! E como os outro que fizeram o cadastro já estão rodando só o meu que não libera ?? Qual é a próxima desculpa??",Problemas com App
"Recebi meu pedido com qualidade ruim e o Ifood não resolveu a situação Fiz um pedido no McDonalds em 31 de janeiro de 2025 e foi entregue em péssima qualidade. Pedi dois sanduíches (Mc Crispy Melt & Bacon e McChicken Bacon), uma batata média.O pedido chegou com a porcão de batata do tamanho de uma batata pequena, e ambos os lanches vieram sem bacon.Solicitei ajuda ao suporte na madrugada de 01 de fevereiro de 2025 e eles falaram que não conseguiria me dar suporte nesta situação.Por isso estou abrindo uma reclamação, visto que até o Ifood Club pago e sou cliente da plataforma faz anos, deveria ter um suporte mais assertivo e humanizado.Fico no aguardo de um resolução, pois meu pedido não foi entregue da maneira que paguei pelo mesmo e a plataforma é o meio para solucionar a situação.",Problemas com App
Bloqueado Estourando esperando a resposta da segunda chance já faz mais de um mês que preenchi o formulário eles falam que em 15 dias para a resposta mas já faz um mês que fiz e nada gostaria de saber até hj porque fui bloqueado e nada ainda,Problemas com Cliente
"Até agora NENHUMA resposta luizcampoos22O ChatGPT disse:ChatGPTOlá, meu nome é ******* Campos de Souza e no dia 24/01/2025 abri quatro chamados no app do iFood Entregador. Até agora NENHUMA resposta! Tentei entrar em contato de todas as formas, mas simplesmente ignoram. Isso é um ABSURDO! Tudo o que quero é trocar o modo de trabalho de bike para moto, pois é meu meio de sustento, e nem isso consigo resolver. Um descaso total com os entregadores!Meu e-mail para contato: *******. Aguardo uma solução!",Problemas com App
Troca de aparelho celular Minha conta bloqueio após ter trocado de aparelho celular,Problemas com App
"Avaliação injusta Ifood simplesmente ignora avaliação de concorrência, tenho recebido avaliação fake de concorrentes, cliente que reclamam de maneira baixa, mesmo o problema já sendo resolvido, eu estou pagando para falarem mal do meu estabelecimento? Ifood é um desserviço para o lojista. Se não resolveram eu vou cancelar !",Problemas com App
"Retirada de ifood Fui fazer a retirada de um Ifood no dia 31/01 na unidade do shopping contagem, já estava na loja, já tinha dado retirada no pedido, e o gerente por sinal muito mal educado falou que tinha tirado o pedido da minha tela porque ele queria, porque ele podia, batendo no peito falando que é dono da loja e não sei o que mais, na frente de cliente por sinal, uma vergonha pra uma empresa tão grande como essa, esse tipo de postura do gerente, o frente de loja com essa falta de educação",Problemas com Loja
